Creator,Created,Playlist Name,Share Code,Description
Tammas Dexter,2025-07-05,"Most played 500",KovaaKsChattingNerfedFeed,""
Tammas Dexter,2025-01-10,"Voltaic Intermediate Benchmarks S5 x3",KovaaKsCampingFlyOptic,"KVK x VT S5 Intermediate but theres 3 copies of each scenario (intended to be used with random order)"
Tammas Dexter,2024-12-22,"Voltaic Novice Benchmarks S5",KovaaKsBouncingSilverBinding,"Official Voltaic Season 5 - Novice Benchmark Playlist"
Tammas Dexter,2024-12-22,"Voltaic Intermediate Benchmarks S5",KovaaKsBottingShinyDoor,"Official Voltaic Season 5 - Intermediate Benchmark Playlist"
Tammas Dexter,2024-12-22,"Voltaic Advanced Benchmarks S5",KovaaKsBobbingSepiaBuff,"Official Voltaic Season 5 - Advanced Benchmark Playlist"
Tammas Dexter,2024-04-27,"Routine for Ragus (Bronze)",KovaaKsCarryingExtraRando,"chewy"
Tammas Dexter,2024-04-13,"NOVICE BENCHMARKS",KovaaKsChallenging90Dink,"ALASDAIR HAS AIDS  SO SAD"
Tammas Dexter,2024-04-08,"Routine for Ragus",KovaaKsCarryingTwitchyBlueberry,"blow my shit off smoove"
Tammas Dexter,2023-10-03,"Tammas' Frog House",KovaaKsBombingPickedRifle,"Unlock your inner frog with the froggiest mini routine around.    Recommended 20-40 cm/360, 103HFOV.    Some of the later scenarios are quite hard."
