Creator,Created,Playlist Name,Share Code,Description
Struth,2024-04-18,"Struth AD Tracking Trainers",KovaaKsNamedroppingCornflowerBattlepass,"A compilation of different AD tracking scenarios with targets that have pre-determined strafing patterns. They aren't tuned for scoring, they exist purely to drill predictive tracking rather than reactive tracking."
Struth,2022-08-31,"Tracking Training - KovaaK's Youtube",KovaaKsAcingScarletWipe,"Playlist for the How To Improve Your Tracking video on the KovaaK's Youtube Channel."
Struth,2022-07-20,"Flick Training - KovaaK's Youtube",KovaaKsWipingCornflowerSmg,"Playlist for the Advanced Flick Techniques video on the KovaaK's Youtube channel."
Struth,2022-02-09,"LEGIONFARM Warzone Advanced ",KovaaKsWipingFarGulag,"Advanced playlist that focuses on training aiming skills directly relevant to Warzone engagments."
Struth,2022-02-09,"LEGIONFARM Warzone Intermediate",KovaaKsWinningFantasticRank,"Intermediate playlist that focuses on training aiming skills directly relevant to Warzone engagments."
Struth,2022-02-09,"LEGIONFARM Warzone Beginner",KovaaKsVibratingFantasticBattlepass,"Beginner playlist that focuses on training aiming skills directly relevant to Warzone engagments."
Struth,2021-09-16,"Splitgate",KovaaKsLosingPetulant1v1,""
Struth,2021-09-09,"10 Min Warmup",KovaaKsDashingBurntsiennaGod,""
Struth,2021-09-09,"10 Minute Warmup",KovaaKsCrouchingBurntorangeRando,""
